"","거주지","성별","나이","혼인상태","주관적만족감","건강평가","흡연여부","음주여부","가정생활스트레스","일상생활스트레스","자살충동여부","자살충동이유","본인경제활동여부","배우자경제활동여부","가구소득"
"1","서울","남자",70,2,3,3,2,2,3,3,2,NA,2,2,2
"2","서울","여자",67,2,1,3,2,2,2,3,2,NA,2,NA,2
"3","서울","여자",40,1,1,2,2,2,3,3,2,NA,2,NA,2
"4","서울","여자",23,1,3,2,2,2,3,3,2,NA,2,NA,1
"5","서울","여자",26,1,2,3,2,2,2,2,1,9,2,NA,2
"6","서울","여자",54,4,2,2,2,1,3,3,2,NA,1,NA,5
"7","서울","여자",30,1,2,3,2,1,4,2,2,NA,1,NA,5
"8","서울","남자",28,1,4,3,2,1,3,2,2,NA,1,NA,5
"9","경기","남자",66,2,2,3,2,2,4,3,2,NA,2,1,3
"10","경기","여자",59,2,2,3,2,2,2,2,2,NA,1,NA,3
"11","경기","남자",47,2,2,3,1,1,2,4,2,NA,1,2,5
"12","경기","여자",45,2,3,3,2,2,2,2,2,NA,2,NA,5
"13","경기","남자",18,1,2,2,2,2,3,4,2,NA,2,NA,5
"14","경기","여자",13,1,2,2,2,2,2,2,2,NA,2,NA,5
"15","경기","여자",77,3,3,4,2,2,2,2,2,NA,2,NA,5
"16","경기","남자",43,2,3,3,1,1,2,2,1,1,1,1,3
"17","경기","여자",40,2,3,1,2,2,3,3,2,NA,1,NA,3
"18","경기","여자",17,1,3,3,2,2,3,3,2,NA,2,NA,3
"19","경기","남자",14,1,3,3,2,2,3,3,2,NA,2,NA,3
"20","경기","남자",48,2,3,3,2,1,2,2,2,NA,1,2,2
"21","경기","여자",47,2,4,3,2,2,2,3,2,NA,2,NA,2
"22","경기","여자",16,1,1,2,2,2,2,2,2,NA,2,NA,2
"23","경기","남자",15,1,2,2,2,2,2,2,2,NA,2,NA,2
"24","경기","남자",59,2,2,1,2,1,2,2,2,NA,1,2,2
"25","경기","여자",57,2,3,3,2,1,2,2,1,5,2,NA,2
"26","경기","남자",57,2,4,4,2,1,4,4,2,NA,2,1,3
"27","경기","여자",59,2,1,2,2,2,4,4,2,NA,1,NA,3
"28","경기","여자",69,3,4,3,2,2,1,1,2,NA,2,NA,1
"29","경기","남자",39,2,2,2,2,1,3,2,2,NA,1,1,5
"30","경기","여자",38,2,1,2,2,1,2,2,2,NA,1,NA,5
"33","경기","남자",37,2,2,2,2,1,1,1,2,NA,1,1,7
"34","경기","여자",37,2,2,2,2,1,2,2,2,NA,1,NA,7
"38","경기","남자",40,2,1,2,1,1,2,2,2,NA,1,2,7
"39","경기","여자",36,2,1,1,2,1,2,2,2,NA,2,NA,7
"41","서울","남자",85,2,3,4,2,2,2,2,1,3,2,2,5
"42","서울","여자",81,2,3,4,2,2,2,2,2,NA,2,NA,5
"43","경기","남자",45,2,2,1,2,1,2,2,2,NA,1,1,5
"44","경기","여자",41,2,5,2,2,2,1,4,2,NA,1,NA,5
"45","경기","여자",17,1,1,2,2,2,4,3,2,NA,2,NA,5
"47","경기","여자",49,2,2,2,2,1,3,3,2,NA,1,1,8
"48","경기","남자",22,1,2,1,1,1,4,4,2,NA,1,NA,8
"49","경기","남자",15,1,1,2,2,2,4,3,2,NA,2,NA,8
"50","경기","남자",46,2,3,2,2,1,3,3,2,NA,1,2,3
"51","경기","여자",44,2,3,4,2,1,2,2,2,NA,2,NA,3
"52","경기","여자",13,1,1,1,2,2,4,4,2,NA,2,NA,3
"54","경기","여자",45,2,3,3,2,1,2,3,2,NA,1,1,5
"55","경기","남자",20,1,3,3,2,1,2,2,2,NA,2,NA,5
"56","경기","남자",16,1,3,3,2,2,3,3,2,NA,2,NA,5
"57","경기","남자",61,2,2,3,2,1,3,2,2,NA,1,2,7
"58","경기","여자",56,2,2,2,2,1,3,3,2,NA,2,NA,7
"59","경기","남자",33,1,3,2,2,1,3,2,2,NA,1,NA,7
"60","경기","여자",25,1,2,2,2,1,3,2,2,NA,1,NA,7
"61","경기","남자",46,2,1,3,2,1,2,4,2,NA,1,2,5
"62","경기","여자",47,2,2,3,2,2,3,3,2,NA,2,NA,5
"63","경기","여자",19,1,1,1,2,1,3,3,2,NA,2,NA,5
"64","경기","남자",15,1,1,1,2,2,3,3,2,NA,2,NA,5
"65","경기","남자",39,2,3,3,2,1,3,4,2,NA,1,2,5
"66","경기","여자",40,2,1,2,2,1,2,2,2,NA,2,NA,5
"69","경기","남자",53,2,3,3,1,1,2,2,2,NA,1,1,4
"70","경기","여자",48,2,4,2,2,1,2,4,2,NA,1,NA,4
"71","경기","남자",17,1,5,2,2,2,2,2,1,6,2,NA,4
"72","경기","여자",14,1,5,3,2,2,2,2,2,NA,2,NA,4
"73","경기","남자",69,2,3,3,2,2,4,4,2,NA,2,2,2
"74","경기","여자",65,2,3,3,2,2,4,4,2,NA,2,NA,2
"75","경기","여자",47,4,4,4,2,1,2,1,1,1,1,NA,3
"76","경기","여자",24,1,3,2,2,2,2,2,2,NA,1,NA,3
"77","경기","여자",22,1,3,2,2,2,2,2,2,NA,1,NA,3
"78","경기","남자",16,1,3,1,2,2,2,2,2,NA,2,NA,3
"79","서울","남자",67,2,1,1,2,1,2,2,1,1,1,2,1
"80","서울","여자",61,2,3,4,2,2,3,2,2,NA,2,NA,1
"81","경기","남자",58,2,1,1,2,1,4,4,2,NA,1,1,6
"82","경기","여자",53,2,2,3,2,1,2,2,2,NA,1,NA,6
"83","경기","여자",25,1,3,2,2,1,2,2,2,NA,2,NA,6
"84","경기","남자",54,2,3,3,1,1,2,2,2,NA,1,1,4
"85","경기","여자",51,2,2,2,2,1,2,2,2,NA,1,NA,4
"86","경기","여자",77,3,3,4,2,2,2,2,2,NA,2,NA,4
"88","경기","여자",46,2,2,2,2,1,4,4,2,NA,1,1,4
"89","경기","남자",41,2,3,2,2,1,2,2,2,NA,1,1,3
"90","경기","여자",41,2,3,2,2,2,2,2,2,NA,1,NA,3
"91","경기","여자",16,1,2,2,2,2,3,2,2,NA,2,NA,3
"92","경기","여자",15,1,2,2,2,2,3,2,2,NA,2,NA,3
"94","경기","남자",50,2,2,2,2,1,3,2,2,NA,1,2,6
"95","경기","여자",45,2,2,2,2,1,3,2,2,NA,2,NA,6
"96","경기","남자",17,1,2,1,2,2,3,3,2,NA,2,NA,6
"97","경기","남자",16,1,2,2,2,2,2,2,2,NA,2,NA,6
"98","경기","남자",48,2,1,4,2,1,2,2,2,NA,1,2,1
"99","경기","여자",49,2,2,2,2,1,2,3,2,NA,2,NA,1
"100","경기","여자",24,1,2,2,2,1,4,3,2,NA,2,NA,1
"101","경기","남자",22,1,2,2,1,1,2,2,2,NA,2,NA,1
"102","경기","남자",47,2,3,3,1,1,1,2,1,1,1,2,4
"103","경기","여자",44,2,5,3,2,1,1,1,2,NA,2,NA,4
"104","경기","남자",18,1,1,2,2,2,2,3,2,NA,1,NA,4
"105","경기","여자",16,1,3,2,2,2,2,2,1,5,2,NA,4
"106","경기","남자",13,1,5,2,2,2,1,2,2,NA,2,NA,4
"107","경기","남자",64,2,3,4,1,2,3,3,2,NA,1,2,3
"108","경기","여자",47,4,2,4,2,1,3,3,2,NA,1,NA,2
"109","경기","여자",15,1,3,2,2,2,3,3,1,5,2,NA,2
"110","경기","여자",39,4,3,3,1,1,2,2,2,NA,1,NA,7
"111","서울","남자",35,1,2,3,1,1,2,2,2,NA,2,NA,3
"112","경기","남자",71,2,3,2,1,1,2,2,2,NA,1,2,3
"113","경기","여자",77,3,5,5,2,2,1,1,2,NA,2,NA,1
"114","경기","남자",33,1,4,4,2,1,3,3,2,NA,1,NA,2
"115","경기","남자",47,4,3,3,1,2,3,3,2,NA,1,NA,3
"116","경기","여자",16,1,1,1,2,2,2,3,2,NA,2,NA,3
"117","경기","남자",81,3,5,5,2,2,2,2,1,3,2,NA,1
"118","경기","남자",61,2,2,2,2,1,3,3,2,NA,1,1,4
"119","경기","여자",50,2,2,2,2,1,3,3,2,NA,1,NA,4
"120","경기","남자",51,4,4,2,2,1,2,2,2,NA,1,NA,3
"121","경기","여자",83,3,3,4,2,2,3,2,2,NA,2,NA,3
"122","경기","남자",72,2,3,4,2,2,3,3,2,NA,1,2,1
"123","경기","여자",65,2,1,1,2,1,4,4,2,NA,2,NA,1
"124","경기","남자",41,2,1,1,2,1,3,3,2,NA,1,1,4
"125","경기","여자",36,2,4,3,2,1,1,2,2,NA,1,NA,4
"128","경기","여자",76,3,4,5,2,1,3,3,2,NA,2,NA,1
"129","서울","남자",53,2,3,2,2,1,2,2,2,NA,1,1,4
"130","서울","여자",49,2,4,3,2,1,2,2,2,NA,1,NA,4
"131","서울","여자",25,1,3,1,2,1,2,2,2,NA,2,NA,4
"132","서울","여자",22,1,3,2,2,1,3,1,2,NA,1,NA,4
"133","서울","남자",18,1,3,2,2,1,4,4,2,NA,2,NA,4
"134","경기","남자",52,2,4,3,2,1,2,2,2,NA,1,2,2
"135","경기","여자",52,2,3,5,2,2,3,3,2,NA,2,NA,2
"136","경기","여자",26,1,3,4,1,2,2,2,2,NA,1,NA,2
"137","경기","남자",22,1,3,3,2,1,3,3,2,NA,1,NA,2
"138","경기","남자",22,1,4,2,1,1,3,2,2,NA,2,NA,2
"140","경기","남자",45,1,3,1,2,1,1,1,2,NA,1,NA,3
"141","경기","남자",47,2,3,3,2,1,3,3,2,NA,1,2,4
"142","경기","여자",39,2,4,4,1,1,2,2,2,NA,2,NA,4
"146","경기","남자",32,4,3,2,1,1,2,2,2,NA,1,NA,4
"149","경기","남자",54,2,3,3,1,2,4,3,1,1,1,1,5
"150","경기","여자",53,2,3,4,2,2,3,3,2,NA,1,NA,5
"151","경기","여자",26,1,3,3,2,2,3,2,2,NA,1,NA,5
"152","경기","남자",60,2,3,2,2,1,1,2,2,NA,2,2,5
"153","경기","여자",57,2,3,3,2,1,2,2,2,NA,2,NA,5
"154","경기","남자",30,1,4,3,2,2,2,2,2,NA,1,NA,5
"155","경기","여자",67,3,3,4,1,2,3,3,2,NA,2,NA,1
"156","경기","남자",45,1,3,3,1,1,2,2,2,NA,2,NA,4
"157","경기","여자",69,3,3,4,2,2,2,2,2,NA,2,NA,4
"158","경기","남자",35,2,4,2,2,1,2,2,2,NA,1,2,4
"159","경기","여자",33,2,4,2,2,1,1,2,2,NA,2,NA,4
"162","경기","남자",50,2,1,1,2,1,3,3,2,NA,1,1,5
"163","경기","여자",51,2,1,3,2,2,2,2,2,NA,1,NA,5
"164","경기","남자",15,1,1,2,2,2,3,3,2,NA,2,NA,5
"165","경기","여자",13,1,1,2,2,2,3,3,2,NA,2,NA,5
"166","서울","남자",42,2,5,4,1,1,2,2,2,NA,1,1,3
"167","서울","여자",35,2,3,3,2,1,2,2,2,NA,1,NA,3
"169","경기","남자",42,2,2,2,2,1,3,3,2,NA,1,2,5
"170","경기","여자",45,2,1,3,2,1,3,3,2,NA,2,NA,5
"171","경기","여자",61,4,3,5,2,2,3,3,2,NA,2,NA,1
"172","경기","남자",15,1,2,2,2,1,2,3,1,6,2,NA,1
"173","경기","남자",45,2,1,2,2,1,3,3,2,NA,1,1,5
"174","경기","여자",47,2,2,2,2,2,3,3,2,NA,1,NA,5
"175","경기","남자",33,2,4,3,2,1,3,2,2,NA,1,2,5
"176","경기","여자",34,2,2,4,2,1,3,3,2,NA,2,NA,5
"179","경기","여자",72,3,2,2,2,2,3,3,2,NA,2,NA,1
"180","경기","남자",34,2,1,2,2,2,3,3,2,NA,1,1,5
"181","경기","여자",31,2,1,2,2,2,3,3,2,NA,1,NA,5
"184","경기","여자",84,3,1,4,2,2,1,1,2,NA,2,NA,1
"185","경기","남자",56,2,3,3,2,1,2,2,2,NA,1,1,7
"186","경기","여자",55,2,2,3,2,1,2,2,2,NA,1,NA,7
"187","경기","남자",31,1,4,2,1,1,2,2,2,NA,1,NA,7
"188","경기","남자",51,1,5,2,2,1,3,2,2,NA,1,NA,4
"189","경기","남자",87,2,3,3,2,2,4,4,2,NA,2,2,1
"190","경기","여자",83,2,3,3,2,2,4,4,2,NA,2,NA,1
"191","서울","남자",68,2,2,2,2,1,3,3,2,NA,1,2,5
"192","서울","여자",65,2,2,2,2,2,2,3,2,NA,2,NA,5
"193","서울","남자",39,1,3,2,2,1,2,2,2,NA,1,NA,5
"194","서울","남자",34,1,3,2,2,1,2,2,2,NA,1,NA,5
"195","경기","남자",56,2,4,4,1,1,3,3,2,NA,2,2,2
"196","경기","여자",53,2,3,3,2,1,2,2,2,NA,2,NA,2
"197","경기","남자",65,2,2,2,2,2,2,2,2,NA,2,2,1
"198","경기","여자",57,2,2,4,2,2,2,2,2,NA,2,NA,1
"199","경기","남자",38,2,3,4,1,1,2,1,2,NA,1,NA,1
"200","경기","여자",35,2,3,3,2,2,2,2,2,NA,2,NA,1
"203","경기","남자",60,2,3,3,2,1,3,3,2,NA,1,1,4
"204","경기","여자",59,2,2,3,2,2,2,2,2,NA,1,NA,4
"205","경기","남자",26,1,3,1,2,1,3,3,2,NA,1,NA,4
"206","경기","남자",73,2,2,3,2,2,2,2,2,NA,2,2,1
"207","경기","여자",69,2,3,4,2,2,2,2,2,NA,2,NA,1
"208","경기","남자",72,2,3,2,2,2,2,2,2,NA,1,2,3
"209","경기","여자",72,2,3,2,2,2,2,2,2,NA,2,NA,3
"210","경기","남자",56,2,4,3,1,1,2,1,2,NA,1,1,1
"211","경기","여자",50,2,3,1,2,1,2,2,2,NA,1,NA,1
"212","경기","남자",25,1,3,2,2,1,3,3,2,NA,2,NA,1
"213","경기","여자",21,1,3,1,2,1,3,3,2,NA,2,NA,1
"214","경기","남자",65,2,3,2,1,1,4,4,2,NA,1,2,2
"215","경기","여자",59,2,3,3,2,2,1,4,2,NA,2,NA,2
"216","경기","남자",66,2,2,2,2,2,3,3,2,NA,1,1,2
"217","경기","여자",64,2,3,2,2,2,3,3,2,NA,1,NA,2
"218","경기","여자",78,3,2,2,2,2,3,3,2,NA,1,NA,1
"219","경기","남자",60,2,2,2,1,1,3,3,2,NA,2,2,3
"220","서울","여자",50,2,4,3,2,1,1,2,2,NA,1,1,1
"221","서울","남자",16,1,4,2,2,2,2,2,2,NA,2,NA,1
"222","경기","남자",82,2,2,2,2,2,3,3,2,NA,1,2,1
"223","경기","여자",83,2,5,5,2,2,2,1,2,NA,2,NA,1
"224","경기","남자",80,2,2,2,2,2,2,2,2,NA,1,1,1
"225","경기","여자",76,2,3,2,2,2,3,3,2,NA,1,NA,1
"226","경기","남자",75,2,2,5,2,2,2,2,2,NA,2,1,2
"227","경기","여자",74,2,3,2,2,2,3,3,2,NA,1,NA,2
"228","경기","남자",68,2,3,2,2,2,3,3,2,NA,1,2,3
"229","경기","여자",98,3,3,3,2,2,3,3,2,NA,2,NA,3
"230","경기","남자",56,1,5,3,2,1,2,2,2,NA,1,NA,3
"231","경기","남자",82,2,2,5,2,1,3,3,2,NA,2,2,1
"232","경기","여자",83,2,2,4,2,2,3,3,2,NA,2,NA,1
"233","경기","남자",84,2,2,2,2,1,3,3,2,NA,1,1,2
"234","경기","여자",81,2,2,2,2,2,2,2,2,NA,1,NA,2
"235","경기","여자",79,3,3,3,2,2,3,3,2,NA,2,NA,2
"236","경기","여자",79,3,3,4,2,2,3,3,2,NA,2,NA,1
"237","경기","남자",53,2,4,2,2,1,3,3,2,NA,1,2,3
"238","경기","여자",43,2,1,1,2,1,2,2,2,NA,2,NA,3
"239","경기","여자",17,1,1,1,2,2,3,3,2,NA,2,NA,3
"240","경기","여자",14,1,1,1,2,2,3,3,2,NA,2,NA,3
"241","서울","남자",48,2,2,2,1,1,3,3,2,NA,1,1,3
"242","서울","여자",47,2,2,2,2,1,3,3,2,NA,1,NA,3
"243","서울","남자",22,1,3,1,2,1,4,4,2,NA,2,NA,3
"244","경기","남자",42,2,3,2,2,1,2,2,2,NA,1,1,3
"245","경기","여자",42,2,3,3,2,2,2,2,2,NA,1,NA,3
"246","경기","여자",14,1,3,3,2,2,3,3,2,NA,2,NA,3
"247","경기","여자",13,1,1,3,2,2,4,2,2,NA,2,NA,3
"248","경기","남자",72,2,4,4,2,2,2,2,2,NA,2,2,1
"249","경기","여자",73,2,3,4,2,2,2,2,2,NA,2,NA,1
"250","경기","남자",44,1,4,4,1,1,2,2,2,NA,2,NA,1
"251","경기","남자",47,2,5,3,1,1,2,2,2,NA,2,1,2
"252","경기","여자",46,2,4,3,2,1,2,2,2,NA,1,NA,2
"253","경기","남자",15,1,2,2,2,2,3,3,2,NA,2,NA,2
"254","경기","남자",14,1,3,1,2,2,2,3,2,NA,2,NA,2
"256","경기","여자",50,2,2,2,2,2,2,2,2,NA,1,2,2
"257","경기","남자",28,1,2,2,2,2,3,2,2,NA,1,NA,2
"258","경기","남자",26,1,2,2,1,2,2,2,2,NA,1,NA,2
"259","경기","남자",34,2,3,3,1,1,3,2,2,NA,1,2,4
"260","경기","여자",32,2,4,4,2,1,3,1,2,NA,2,NA,4
"262","경기","남자",79,2,3,4,2,2,2,2,2,NA,2,2,2
"263","경기","여자",78,2,3,3,2,2,2,2,2,NA,2,NA,2
"264","경기","남자",29,2,3,2,2,1,3,3,2,NA,1,1,5
"265","경기","여자",32,2,2,3,2,1,3,2,2,NA,1,NA,5
"267","경기","남자",43,2,2,2,2,1,3,3,2,NA,1,1,3
"268","경기","여자",41,2,3,3,2,1,2,2,2,NA,1,NA,3
"269","경기","여자",13,1,2,2,2,2,2,2,2,NA,2,NA,3
"270","경기","남자",58,2,3,3,1,1,2,2,1,1,1,2,5
"271","경기","여자",57,2,2,3,2,1,2,2,1,1,2,NA,5
"272","경기","여자",26,1,3,3,2,2,3,3,2,NA,2,NA,5
"273","경기","남자",23,1,3,1,2,1,4,3,2,NA,2,NA,5
"274","경기","남자",51,2,3,2,1,1,3,3,2,NA,1,1,5
"275","경기","여자",51,2,3,3,2,1,3,2,2,NA,1,NA,5
"276","경기","남자",27,1,2,2,2,1,4,2,2,NA,1,NA,5
"277","경기","남자",25,1,3,2,2,1,3,2,2,NA,2,NA,5
"278","서울","남자",68,2,3,2,2,1,3,3,2,NA,2,2,3
"279","서울","여자",63,2,3,2,2,1,2,2,2,NA,2,NA,3
"280","경기","남자",51,2,2,3,2,1,3,3,2,NA,1,2,4
"281","경기","여자",46,2,2,3,2,1,2,3,2,NA,2,NA,4
"283","경기","남자",51,2,1,1,2,1,2,2,2,NA,1,2,5
"284","경기","여자",48,2,1,1,2,1,3,3,2,NA,2,NA,5
"286","경기","남자",36,2,1,2,2,1,2,2,2,NA,1,1,4
"287","경기","여자",35,2,2,2,2,2,2,2,2,NA,1,NA,4
"290","경기","남자",31,2,1,2,2,1,2,2,2,NA,1,2,6
"291","경기","여자",31,2,5,5,2,1,1,1,2,NA,2,NA,6
"294","경기","남자",43,2,4,3,2,1,3,2,2,NA,1,2,2
"295","경기","여자",42,2,3,3,1,1,3,3,2,NA,2,NA,2
"296","경기","남자",13,1,1,2,2,2,4,3,2,NA,2,NA,2
"297","경기","남자",45,2,2,3,2,1,3,2,2,NA,1,1,4
"298","경기","여자",44,2,2,2,2,1,2,2,2,NA,1,NA,4
"299","경기","남자",19,1,1,2,1,1,4,4,2,NA,2,NA,4
"300","경기","남자",16,1,2,2,2,2,2,2,2,NA,2,NA,4
"301","경기","남자",35,2,3,4,2,2,2,2,2,NA,1,2,4
"302","경기","여자",27,2,3,5,1,1,2,3,2,NA,2,NA,4
"305","경기","남자",54,2,3,3,2,2,2,2,2,NA,1,2,4
"306","경기","여자",49,2,3,3,2,2,2,2,2,NA,2,NA,4
"307","경기","남자",26,1,3,3,2,1,3,3,2,NA,2,NA,4
"308","경기","여자",44,2,3,3,2,2,2,3,2,NA,2,1,6
"310","경기","남자",43,2,3,2,2,1,3,2,2,NA,1,2,8
"311","경기","여자",40,2,3,2,2,2,3,3,2,NA,2,NA,8
"312","경기","여자",13,1,3,2,2,2,2,2,2,NA,2,NA,8
"314","서울","남자",60,2,3,3,2,1,2,2,2,NA,1,2,2
"315","서울","여자",50,2,3,4,2,2,2,2,2,NA,2,NA,2
"316","서울","남자",63,4,4,5,1,1,2,2,2,NA,2,NA,1
"317","경기","남자",38,2,2,1,1,1,4,3,2,NA,1,1,4
"318","경기","여자",37,2,1,3,2,2,2,2,2,NA,1,NA,4
"319","경기","남자",66,2,2,3,1,1,4,3,2,NA,1,NA,4
"320","경기","여자",58,2,2,3,2,2,2,2,2,NA,2,NA,4
"323","경기","남자",40,2,1,2,2,1,3,3,2,NA,1,2,5
"324","경기","여자",32,2,3,5,2,1,2,2,2,NA,2,NA,5
"327","경기","남자",41,2,2,2,1,1,3,2,2,NA,1,2,3
"328","경기","여자",40,2,3,3,2,1,2,2,2,NA,2,NA,3
"331","경기","남자",54,2,2,3,2,1,4,4,2,NA,1,1,2
"332","경기","여자",56,2,1,3,2,2,4,1,2,NA,1,NA,2
"333","경기","남자",40,2,1,2,2,1,3,2,2,NA,1,2,5
"334","경기","여자",37,2,2,2,2,1,1,2,2,NA,2,NA,5
"337","경기","남자",35,2,2,2,2,1,3,2,2,NA,1,1,5
"338","경기","여자",35,2,2,2,2,1,2,3,2,NA,1,NA,5
"341","경기","남자",52,2,3,3,2,1,3,3,2,NA,1,1,5
"342","경기","여자",48,2,3,3,2,1,3,3,2,NA,1,NA,5
"343","경기","여자",21,1,1,1,2,1,4,3,2,NA,1,NA,5
"344","경기","여자",67,3,3,3,2,1,1,1,1,5,2,NA,2
"345","경기","여자",40,2,1,2,2,2,3,3,2,NA,2,2,5
"346","경기","남자",72,3,2,2,2,2,3,3,2,NA,2,NA,5
"349","경기","남자",31,2,1,4,1,2,3,2,2,NA,1,1,3
"350","경기","여자",27,2,3,2,2,1,3,3,2,NA,1,NA,3
"352","서울","여자",59,3,4,4,2,1,2,2,2,NA,2,NA,5
"353","서울","여자",28,1,4,1,2,1,3,3,2,NA,1,NA,5
"354","경기","남자",48,2,4,3,1,1,3,3,2,NA,1,2,2
"355","경기","여자",48,2,5,4,2,1,1,1,2,NA,2,NA,2
"356","경기","여자",18,1,2,1,2,1,4,3,2,NA,2,NA,2
"357","경기","남자",16,1,3,2,2,2,3,3,2,NA,2,NA,2
"358","경기","남자",37,2,4,3,2,1,3,2,2,NA,1,1,4
"359","경기","여자",41,2,4,2,2,1,1,2,2,NA,1,NA,4
"360","경기","남자",15,1,2,2,1,1,2,3,2,NA,2,NA,4
"361","경기","남자",35,2,2,2,2,1,3,2,2,NA,1,2,4
"362","경기","여자",30,2,2,3,2,1,2,3,2,NA,2,NA,4
"364","경기","남자",57,3,5,3,2,1,1,3,2,NA,1,NA,4
"365","경기","남자",46,2,3,3,2,1,1,2,2,NA,1,1,7
"366","경기","여자",35,2,5,3,2,1,1,2,1,6,1,NA,7
"368","경기","남자",35,2,3,2,1,1,2,2,2,NA,1,2,4
"369","경기","여자",33,2,3,3,2,1,2,2,2,NA,2,NA,4
"371","경기","남자",40,2,3,3,1,1,2,2,2,NA,1,1,8
"372","경기","여자",40,2,3,3,2,2,2,2,2,NA,1,NA,8
"375","경기","남자",45,2,1,2,2,2,3,3,2,NA,1,1,7
"376","경기","여자",44,2,2,4,2,2,3,3,2,NA,1,NA,7
"377","경기","여자",15,1,1,1,2,2,4,4,2,NA,2,NA,7
"380","경기","남자",58,2,4,2,1,1,3,3,2,NA,2,2,5
"381","경기","여자",57,2,3,4,2,2,2,2,2,NA,2,NA,5
"382","경기","여자",27,1,3,1,2,2,3,2,2,NA,1,NA,5
"383","경기","여자",26,1,4,2,2,1,2,2,2,NA,2,NA,5
"384","경기","여자",16,1,2,3,2,2,2,2,1,6,1,NA,5
"385","경기","남자",42,2,3,3,2,1,2,2,2,NA,1,1,5
"386","경기","여자",34,2,3,3,2,1,3,3,2,NA,1,NA,5
"389","서울","남자",49,1,3,2,1,1,2,2,2,NA,2,NA,8
"390","경기","남자",37,2,1,3,1,1,3,2,2,NA,1,2,3
"391","경기","여자",35,2,2,2,2,1,2,2,2,NA,2,NA,3
"394","경기","남자",44,2,4,3,1,1,2,2,1,5,1,2,3
"395","경기","여자",43,2,4,3,2,2,2,2,2,NA,2,NA,3
"398","경기","남자",59,2,3,3,2,1,2,2,2,NA,2,2,1
"399","경기","여자",57,2,3,4,2,1,2,2,2,NA,2,NA,1
"400","경기","남자",47,4,2,2,2,1,4,4,2,NA,1,NA,2
"401","경기","남자",19,1,1,1,2,2,2,3,2,NA,2,NA,2
"402","경기","여자",44,4,4,3,2,1,1,1,1,1,1,NA,8
"403","경기","남자",17,1,5,3,2,1,2,2,1,7,1,NA,8
"404","경기","남자",15,1,3,2,2,2,1,2,1,7,2,NA,8
"406","경기","남자",44,2,3,3,2,1,2,2,2,NA,1,1,5
"407","경기","여자",36,2,3,3,2,1,2,2,2,NA,1,NA,5
"409","경기","남자",42,3,4,3,1,1,2,2,1,5,1,NA,4
"410","경기","여자",13,1,2,2,2,2,2,2,2,NA,2,NA,4
"412","경기","여자",61,3,5,4,2,2,4,1,1,3,2,NA,1
"413","경기","남자",54,2,3,2,2,1,2,2,2,NA,1,2,5
"414","경기","여자",50,2,2,3,2,2,3,3,2,NA,2,NA,5
"415","경기","남자",27,1,1,2,2,1,4,3,2,NA,1,NA,5
"416","경기","여자",24,1,3,3,2,1,3,3,2,NA,1,NA,5
"417","경기","남자",37,1,3,2,1,1,3,2,2,NA,1,NA,4
"418","경기","남자",72,2,2,3,2,1,3,3,2,NA,2,NA,4
"419","경기","여자",66,2,3,3,2,2,2,3,2,NA,1,NA,4
"420","서울","여자",30,1,4,2,2,1,2,2,2,NA,1,NA,5
"421","경기","남자",49,2,5,2,1,1,1,4,2,NA,1,1,8
"422","경기","여자",47,2,3,3,2,2,2,2,2,NA,1,NA,8
"423","경기","여자",23,1,3,2,2,1,1,3,2,NA,1,NA,8
"424","경기","남자",16,1,1,2,2,2,2,3,2,NA,2,NA,8
"425","경기","남자",14,1,3,2,2,2,2,3,2,NA,2,NA,8
"426","경기","남자",50,2,2,5,2,2,4,2,2,NA,1,1,4
"427","경기","여자",51,2,2,3,2,1,3,3,2,NA,1,NA,4
"428","경기","남자",20,1,2,3,2,2,4,4,2,NA,2,NA,4
"429","경기","여자",46,1,3,3,2,1,3,3,2,NA,1,NA,6
"430","경기","남자",69,2,1,2,2,2,3,3,2,NA,2,2,7
"431","경기","여자",69,2,2,2,2,2,3,3,2,NA,2,NA,7
"432","경기","여자",74,3,4,4,2,2,1,1,2,NA,2,NA,1
"433","경기","남자",62,2,3,2,1,1,3,2,2,NA,2,2,1
"434","경기","여자",56,2,4,2,2,2,3,3,2,NA,2,NA,1
"435","경기","남자",71,2,2,4,1,1,3,3,2,NA,1,2,2
"436","경기","여자",71,2,2,4,2,2,3,3,2,NA,2,NA,2
"437","경기","여자",60,3,1,1,1,1,3,3,2,NA,2,NA,2
"438","경기","남자",56,2,2,4,2,1,3,2,2,NA,1,1,8
"439","경기","여자",52,2,2,2,2,2,3,3,2,NA,1,NA,8
"440","경기","남자",31,1,3,4,1,1,2,3,2,NA,1,NA,8
"441","경기","여자",74,3,4,4,2,2,2,2,2,NA,2,NA,1
"442","서울","남자",31,2,2,3,2,1,4,2,2,NA,1,2,3
"443","서울","여자",31,2,2,2,2,2,3,2,2,NA,2,NA,3
"445","경기","여자",74,3,5,4,1,2,1,1,2,NA,2,NA,2
"446","경기","여자",52,2,4,5,2,2,2,2,2,NA,2,NA,2
"447","경기","남자",15,1,3,2,2,2,2,2,2,NA,2,NA,2
"448","경기","남자",65,2,3,4,2,2,2,1,2,NA,1,1,2
"449","경기","여자",61,2,1,4,2,2,3,4,2,NA,1,NA,2
"450","경기","여자",78,3,3,4,2,2,3,2,2,NA,2,NA,1
"451","경기","남자",70,2,1,3,2,1,2,2,2,NA,2,2,2
