"","거주지","성별","나이","혼인상태","주관적만족감","건강평가","흡연여부","음주여부","가정생활스트레스","일상생활스트레스","자살충동여부","자살충동이유","본인경제활동여부","배우자경제활동여부","가구소득"
"38792","경기","여자",47,2,3,2,2,1,3,3,2,NA,1,NA,3
"38793","경기","여자",24,1,3,3,2,1,3,2,1,4,1,NA,3
"38794","경기","남자",54,2,3,2,2,1,3,3,2,NA,1,1,2
"38795","경기","여자",47,2,3,4,2,1,1,2,2,NA,1,NA,2
"38796","경기","남자",17,1,3,2,2,1,4,2,2,NA,2,NA,2
"38797","경기","남자",42,2,3,3,2,1,2,2,2,NA,1,1,4
"38798","경기","여자",38,2,4,3,2,1,2,2,2,NA,1,NA,4
"38800","경기","남자",63,3,5,4,2,1,2,2,1,1,1,NA,6
"38801","경기","여자",33,1,3,2,2,1,2,3,2,NA,1,NA,6
"38802","경기","여자",49,2,3,2,2,2,3,3,2,NA,1,1,4
"38803","경기","여자",24,1,5,3,2,1,2,2,1,4,1,NA,4
"38804","경기","여자",22,1,3,3,2,1,2,2,2,NA,1,NA,4
"38805","경기","남자",17,1,5,3,2,2,3,2,2,NA,2,NA,4
"38806","경기","여자",56,3,5,4,1,1,1,1,1,1,2,NA,2
"38807","경기","남자",37,2,1,2,1,1,4,3,2,NA,1,2,5
"38808","경기","여자",37,2,1,2,2,1,4,4,2,NA,2,NA,5
"38811","서울","남자",51,2,4,3,2,1,3,2,1,1,1,2,4
"38812","서울","여자",45,2,4,2,2,1,2,2,2,NA,2,NA,4
"38813","서울","남자",25,1,4,3,2,1,3,2,2,NA,1,NA,4
"38814","서울","남자",82,2,2,1,2,1,2,3,2,NA,2,NA,4
"38815","서울","여자",80,2,3,3,2,2,2,2,2,NA,2,NA,4
"38816","경기","여자",64,3,4,4,2,2,4,2,2,NA,1,NA,2
"38817","경기","남자",79,2,4,4,2,2,3,3,2,NA,1,1,1
"38818","경기","여자",71,2,4,2,2,2,3,3,2,NA,1,NA,1
"38819","경기","남자",75,2,3,3,2,1,4,4,2,NA,2,2,1
"38820","경기","여자",75,2,1,4,2,2,4,4,2,NA,2,NA,1
"38821","경기","남자",66,2,3,3,2,1,4,2,2,NA,1,1,2
"38822","경기","여자",64,2,3,4,2,2,4,2,2,NA,1,NA,2
"38823","경기","남자",34,1,5,4,1,1,2,2,2,NA,1,NA,4
"38824","경기","남자",33,1,5,3,2,1,2,2,2,NA,2,NA,4
"38825","경기","여자",71,3,3,5,2,1,4,4,2,NA,2,NA,1
"38826","경기","남자",48,2,5,4,1,1,3,3,1,1,2,1,2
"38827","경기","여자",47,2,2,3,2,1,3,3,2,NA,1,NA,2
"38828","경기","여자",17,1,3,2,2,2,4,2,2,NA,2,NA,2
"38829","경기","여자",79,3,4,4,2,2,3,3,2,NA,2,NA,1
"38830","경기","여자",72,3,5,5,2,2,1,1,2,NA,2,NA,1
"38831","경기","남자",59,3,4,2,1,1,3,3,2,NA,1,NA,1
"38832","서울","남자",56,2,3,3,1,1,4,3,2,NA,1,2,8
"38833","서울","여자",54,2,3,3,1,1,2,2,2,NA,2,NA,8
"38834","경기","남자",43,2,2,3,1,2,2,2,2,NA,1,1,7
"38835","경기","여자",37,2,2,2,2,1,3,2,2,NA,1,NA,7
