"","title","point","review"
"1","도어락","10","도어락긴장감 굿.. 한국은 여자들이 살기에 이렇게 무섭나요ㅠㅠ "
"2","보헤미안 랩소디","10","보헤미안 랩소디내겐 타이타닉 이후로 이곳에 두번째로 댓글 달게 한 영화입니다 "
"3","보헤미안 랩소디","9","보헤미안 랩소디귀가 호강했다 근데 약간 지루한 면이 있음 "
"4","모털 엔진","8","모털 엔진최근 허리웃 영화 중에 그나마 볼만하네요~ 만화 캐릭터 영화에 지치신 관객에게 그나마 위안을~~ "
"5","성난황소","1","성난황소동석이형, 이제는 형 나오는 작품들이 다 똑같아서 헷갈려요!!! "
"6","보헤미안 랩소디","10","보헤미안 랩소디인생 영화임 라이브 에이드는 너무 감동이라 눈물이 날 뻔 "
"7","공범","8","공범아빠 웃을때 온몸에 소름 "
"8","도어락","1","도어락개인적으로 이런 답답한 전개를 싫어한다! "
"9","모털 엔진","4","모털 엔진중국과 서양의 싸움인건가..? "
"10","국가부도의 날","1","국가부도의 날씨네21 너희들의 편견 때문에 점수 주기 싫다! "
"11","도어락","10","도어락긴장감 굿.. 한국은 여자들이 살기에 이렇게 무섭나요ㅠㅠ "
"12","보헤미안 랩소디","10","보헤미안 랩소디내겐 타이타닉 이후로 이곳에 두번째로 댓글 달게 한 영화입니다 "
"13","보헤미안 랩소디","9","보헤미안 랩소디귀가 호강했다 근데 약간 지루한 면이 있음 "
"14","모털 엔진","8","모털 엔진최근 허리웃 영화 중에 그나마 볼만하네요~ 만화 캐릭터 영화에 지치신 관객에게 그나마 위안을~~ "
"15","성난황소","1","성난황소동석이형, 이제는 형 나오는 작품들이 다 똑같아서 헷갈려요!!! "
"16","보헤미안 랩소디","10","보헤미안 랩소디인생 영화임 라이브 에이드는 너무 감동이라 눈물이 날 뻔 "
"17","공범","8","공범아빠 웃을때 온몸에 소름 "
"18","도어락","1","도어락개인적으로 이런 답답한 전개를 싫어한다! "
"19","모털 엔진","4","모털 엔진중국과 서양의 싸움인건가..? "
"20","국가부도의 날","1","국가부도의 날씨네21 너희들의 편견 때문에 점수 주기 싫다! "
